,fid,id,x,y,nombre,estacion_id
0,14,64617000,-53.530049166938575,-22.382954407804267,UHE ITAIPU IVINHEMA,4822
1,15,64720000,-54.401438688026374,-23.428718717649435,COLONIA BOM JESUS,8176
2,16,63350100,-52.90193902161111,-20.444824904257153,AGUA CLARA,8177
3,17,63003100,-52.1496642657437,-20.094522628851397,PORTO GALEANO,8178
4,18,60970000,-51.533582766884805,-19.13980011410431,ITAJA,8179
5,19,60945000,-51.00829300096059,-19.158276719734005,PONTE RIO CORRENTE,8180
6,20,60921600,-50.742165333867064,-19.14939522088632,UHE SALTO DO RIO VERDINHO JUSANTE,4268
7,21,60908000,-50.64181205436532,-19.116415866364765,UHE ENG. JOSÉ LUIZ MULLER BARRAMENTO,4260
8,22,60798000,-50.33240580807374,-17.967776173199805,MAURILÂNDIA,4238
9,23,60772000,-50.24687967652188,-17.98080557494429,FAZENDA SANTA MARIA,4228
10,24,60680000,-49.601702354637034,-18.348824498092245,PONTE MEIA PONTE,4220
11,25,60591000,-48.84471078520566,-17.74801482621075,UHE ITUMBIARA JUSANTE PONTE GO-213,4193
12,27,64830000,-53.74609579828778,-24.18819388625098,BALSA SANTA MARIA,8181
13,28,64693000,-53.31522477044657,-23.199224589203478,NOVO PORTO TAQUARA,8182
14,29,64571080,-52.87453443932734,-22.6004221016948,UHE ROSANA BARRAMENTO,4817
15,30,62900080,-51.29856081145734,-20.671309396847672,UHE TRÊS IRMÃOS BARRAMENTO,4636
16,31,62016500,-50.59189623985824,-20.523085937108018,FAZENDA PALMERINHA,8183
17,32,61998080,-50.3474692330092,-19.862873317273582,UHE ÁGUA VERMELHA BARRAMENTO,4495
18,33,60855000,-49.69723496993618,-19.03556893031228,PONTE DO PRATA,8184
19,34,60845000,-49.45038995965486,-18.942185517478006,ITUIUTABA,8185
20,35,60856000,-50.00498420879961,-18.88459275609611,PONTE BR-365 (FAZ.BOA VISTA),8186
21,39,64717000,-54.195019304697,-23.1322268515623,NAVIRAI,8187
22,40,64875500,-54.09500794873173,-24.750066202878724,SAO FRANCISCO VERDADEIRO,8188
23,41,64833000,-53.7524640329836,-23.970992895912094,IPORÃ,4849
24,42,63970000,-52.867463051020145,-21.66326326894594,FAZENDA BURITI,4699
25,44,60870000,-50.528596768866656,-18.498304757389587,QUIRINOPOLIS,8189
26,45,63180000,-51.01499911481662,-21.431400814077747,VALPARAISO / ADAMANTINA,8190
27,46,64849000,-54.13839919836994,-24.393873351704656,NOVO TRÊS PASSOS,4853
28,49,61925000,-48.45028124467882,-20.45360661026601,PONTE JOAQUIM JUSTINO,8191
29,50,61796080,-48.57139956330365,-20.12675944439603,UHE PORTO COLÔMBIA BARRAMENTO,4421
30,51,60901000,-51.14935045096952,-18.301914967311898,UHE CACU RIO DOCE,8192
31,52,60891000,-51.258966953100575,-18.33795709672967,UHE CACU MONTANTE,8193
32,53,64507000,-50.98407381419067,-23.248920469023894,UHE CAPIVARA JATAIZINHO,4803
33,54,64345080,-50.51729564198938,-22.943074595618278,UHE CANOAS I BARRAMENTO,4774
